t=2025-12-04T13:42:32+0530 lvl=info msg="open config file" path=/home/anuj/.config/ngrok/ngrok.yml err=nil
t=2025-12-04T13:42:32+0530 lvl=info msg="open config file" path=/home/anuj/resumeRanking/ngrok.yml err=nil
t=2025-12-04T13:42:32+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2025-12-04T13:42:32+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-12-04T13:42:32+0530 lvl=info msg="client session established" obj=tunnels.session
t=2025-12-04T13:42:32+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-12-04T13:42:32+0530 lvl=info msg="started tunnel" obj=tunnels name=backend addr=http://localhost:8000 url=https://b8516a8724d9.ngrok-free.app
t=2025-12-04T13:42:32+0530 lvl=info msg="started tunnel" obj=tunnels name=frontend addr=http://localhost:3000 url=https://59382aa4db88.ngrok-free.app
t=2025-12-04T13:42:53+0530 lvl=info msg=start pg=/api/tunnels id=9bcf5446692c34cc
t=2025-12-04T13:42:53+0530 lvl=info msg=end pg=/api/tunnels id=9bcf5446692c34cc status=200 dur=494.653µs
t=2025-12-04T13:43:39+0530 lvl=info msg="join connections" obj=join id=f67ca061e8a3 l=127.0.0.1:3000 r=125.16.53.78:38500
t=2025-12-04T13:43:39+0530 lvl=info msg="join connections" obj=join id=51cdbc98c7cf l=127.0.0.1:3000 r=125.16.53.78:38500
t=2025-12-04T13:43:39+0530 lvl=info msg="join connections" obj=join id=988189e2d0c5 l=127.0.0.1:3000 r=125.16.53.78:38500
t=2025-12-04T13:43:39+0530 lvl=info msg="join connections" obj=join id=229e21b29a75 l=127.0.0.1:3000 r=125.16.53.78:38500
t=2025-12-04T13:43:40+0530 lvl=info msg="join connections" obj=join id=cb1740aa5f85 l=127.0.0.1:3000 r=125.16.53.78:38500
t=2025-12-04T13:43:40+0530 lvl=info msg="join connections" obj=join id=5beae3b64902 l=127.0.0.1:3000 r=125.16.53.78:38500
t=2025-12-04T13:43:40+0530 lvl=info msg="join connections" obj=join id=f5afee97fbab l=127.0.0.1:3000 r=125.16.53.78:38500
t=2025-12-04T13:43:40+0530 lvl=info msg="join connections" obj=join id=a03c748f7147 l=127.0.0.1:3000 r=125.16.53.78:38500
t=2025-12-04T13:43:40+0530 lvl=info msg="join connections" obj=join id=f8ef3319a5b4 l=127.0.0.1:3000 r=125.16.53.78:38500
t=2025-12-04T13:43:40+0530 lvl=info msg="join connections" obj=join id=99c25d6bfa26 l=127.0.0.1:3000 r=125.16.53.78:38500
t=2025-12-04T13:43:40+0530 lvl=info msg="join connections" obj=join id=b03830911e07 l=127.0.0.1:3000 r=125.16.53.78:38504
t=2025-12-04T13:44:13+0530 lvl=info msg="join connections" obj=join id=68c6f68be086 l=127.0.0.1:3000 r=125.16.53.78:56878
